question_id,spatial_waveform_1,temporal_waveform_1,spatial_waveform_2,temporal_waveform_2,duration,stimuli
0,2,2,4,2,00:16,https://youtu.be/HhohdYHF7qo
1,2,2,8,2,00:18,https://youtu.be/nlWfUmf8BvA
2,2,2,10,2,00:21,https://youtu.be/Byodt0V4dTU
3,2,2,7,2,00:15,https://youtu.be/8m9YGyzL8So
4,2,2,5,2,00:17,https://youtu.be/ZHiN1-SUsOw
5,2,2,11,2,00:16,https://youtu.be/ML3ELQxwYso
6,2,2,2,2,00:19,https://youtu.be/Bygv21vvNss
7,2,2,6,2,00:16,https://youtu.be/6d2tLxB6EFw
8,2,2,3,2,00:15,https://youtu.be/kQOqKMie5v8
9,2,2,12,2,00:16,https://youtu.be/Yt5Kxr8FU9M
10,2,2,9,2,00:19,https://youtu.be/xMMriO3gae8